 ,Area,Circ.,AR,Round,Solidity
1,306.716,0.268,1.913,0.523,0.836
2,127.924,0.491,1.095,0.913,0.935
3,165.966,0.160,1.875,0.533,0.732
4,196.443,0.540,1.012,0.988,0.963
5,327.612,0.358,1.962,0.510,0.883
6,186.079,0.303,1.074,0.931,0.924
7,137.614,0.718,1.025,0.976,0.971
8,104.728,0.216,1.288,0.776,0.814
9,99.481,0.442,1.114,0.898,0.915
10,145.148,0.321,1.230,0.813,0.889
11,218.790,0.154,2.071,0.483,0.739
12,150.841,0.745,1.024,0.977,0.964
13,142.052,0.245,1.217,0.821,0.868
14,103.847,0.153,1.411,0.709,0.801
15,104.262,0.752,1.132,0.883,0.965
16,99.760,0.204,1.197,0.835,0.863
17,251.586,0.061,1.878,0.532,0.653
18,232.121,0.422,1.109,0.902,0.958
19,125.450,0.205,1.442,0.694,0.802
20,175.093,0.531,1.230,0.813,0.948
21,111.575,0.487,1.105,0.905,0.919
22,220.844,0.591,1.078,0.927,0.966
23,194.467,0.430,1.156,0.865,0.926
24,218.026,0.612,1.067,0.937,0.960
25,110.597,0.401,1.281,0.781,0.904
26,182.082,0.346,1.733,0.577,0.907
27,271.893,0.169,1.910,0.524,0.830
28,142.654,0.321,1.242,0.805,0.871
29,161.452,0.481,1.080,0.926,0.955
30,104.378,0.418,1.166,0.857,0.920
31,217.780,0.570,1.119,0.893,0.966
32,140.626,0.127,2.306,0.434,0.683
33,140.639,0.251,1.223,0.818,0.870
34,157.027,0.597,1.110,0.901,0.948
35,142.440,0.524,1.122,0.892,0.942
36,201.139,0.395,1.121,0.892,0.880
37,327.781,0.661,1.058,0.945,0.977
